First: 2019-01-14 08:37:55.781943
Last: 2019-03-17 11:15:34.105828
0: 0.009940385818481445 seconds, time offset: 0.007023
1: 0.021075725555419922 seconds, time offset: 19.440669
2: 0.03576517105102539 seconds, time offset: 43.564887
3: 0.05245614051818848 seconds, time offset: 29.725161
4: 0.06888079643249512 seconds, time offset: 38.226408
5: 0.09109115600585938 seconds, time offset: 19.464114
6: 0.14931201934814453 seconds, time offset: 26.408565
7: 0.13280963897705078 seconds, time offset: 3.764698
8: 0.13887333869934082 seconds, time offset: -798.742895
9: 0.14934945106506348 seconds, time offset: 21.019931
10: 0.17026162147521973 seconds, time offset: 34.206362
11: 0.19517946243286133 seconds, time offset: 0.644402
12: 0.2033383846282959 seconds, time offset: 31.662012
13: 0.2293543815612793 seconds, time offset: 1.233273
14: 0.24347472190856934 seconds, time offset: 5.65324
15: 0.2562429904937744 seconds, time offset: 9.641453
16: 0.2756621837615967 seconds, time offset: 15.613862
17: 0.29305243492126465 seconds, time offset: 4.764002
18: 0.313892126083374 seconds, time offset: 28.561714
19: 0.3436412811279297 seconds, time offset: 9.426361
20: 0.34035420417785645 seconds, time offset: -68464.434945
21: 0.32651472091674805 seconds, time offset: -25264.434945
22: 0.3473649024963379 seconds, time offset: 5.809696
23: 0.3532702922821045 seconds, time offset: 1.598112
24: 0.39803242683410645 seconds, time offset: 21.663388
25: 0.3833482265472412 seconds, time offset: 29.635391
26: 0.43262290954589844 seconds, time offset: 7.266397
27: 0.4388561248779297 seconds, time offset: 19.615898
28: 0.4560580253601074 seconds, time offset: 10.428096
29: 0.5046453475952148 seconds, time offset: 10.33812
30: 0.5012240409851074 seconds, time offset: 0.930473
31: 0.5030941963195801 seconds, time offset: 23.165682
32: 0.564300537109375 seconds, time offset: 44.681246
33: 0.5513973236083984 seconds, time offset: 2.911451
34: 0.5479891300201416 seconds, time offset: 51.092379
35: 0.612607479095459 seconds, time offset: 11.601167
36: 0.6108367443084717 seconds, time offset: 24.564862
37: 0.6070301532745361 seconds, time offset: 19.603648
38: 0.6325225830078125 seconds, time offset: 49.062684
39: 0.6555571556091309 seconds, time offset: 24.455449
40: 0.6729395389556885 seconds, time offset: 22.476663
41: 0.701200008392334 seconds, time offset: 1.346692
42: 0.7053165435791016 seconds, time offset: 36.702482
43: 0.7094500064849854 seconds, time offset: 16.124412
44: 0.7195115089416504 seconds, time offset: 51.162918
45: 0.742455005645752 seconds, time offset: 18.52368
46: 0.8221921920776367 seconds, time offset: 42.84697
47: 0.7987349033355713 seconds, time offset: 13.982252
48: 0.8023512363433838 seconds, time offset: 47.860192
49: 0.8164896965026855 seconds, time offset: 24.437572
50: 0.8335068225860596 seconds, time offset: 24.430958
51: 0.8712663650512695 seconds, time offset: 11.573603
52: 0.8428335189819336 seconds, time offset: 3.749918
53: 0.8729357719421387 seconds, time offset: 21.72827
54: 0.8700156211853027 seconds, time offset: 52.020246
55: 0.8939390182495117 seconds, time offset: 24.594184
56: 0.9047262668609619 seconds, time offset: 41.791619
57: 0.9331259727478027 seconds, time offset: 22.42573
58: 0.9461512565612793 seconds, time offset: 37.151862
59: 0.9964020252227783 seconds, time offset: 16.638046
60: 1.0669865608215332 seconds, time offset: 0.641968
61: 1.040041208267212 seconds, time offset: 5.519906
62: 0.9986505508422852 seconds, time offset: 17.594721
63: 1.0198802947998047 seconds, time offset: 1.893
64: 1.172905683517456 seconds, time offset: 1.783446
65: 1.2303993701934814 seconds, time offset: 40.289032
66: 1.2030150890350342 seconds, time offset: 47.161975
67: 1.2943878173828125 seconds, time offset: 0.686308
68: 1.1843395233154297 seconds, time offset: 42.816385
69: 1.180807113647461 seconds, time offset: 12.045715
70: 1.1848359107971191 seconds, time offset: 21.407376
71: 1.1753590106964111 seconds, time offset: 15.237599
72: 1.1902215480804443 seconds, time offset: 22.357615
73: 1.213329792022705 seconds, time offset: 9.36698
74: 1.259946346282959 seconds, time offset: 40.75731
75: 1.2487819194793701 seconds, time offset: 5.717089
76: 1.289438247680664 seconds, time offset: 20.853567
77: 1.269333839416504 seconds, time offset: 2.59826
78: 1.2782928943634033 seconds, time offset: 21.520573
