First: 1970-01-01 00:25:47.455076
Last: 1970-01-01 00:25:52.821335
0: 0.013804197311401367 seconds, time offset: -1547453581.3090272, id:5c3c4ace1325e3247b2d8a8f
1: 0.013622522354125977 seconds, time offset: -1547507238.4102027, id:5c3d1c671325e3247b2df595
2: 0.0031332969665527344 seconds, time offset: -1547560918.393975, id:5c3dee051325e3247b2e41c9
3: 0.002707242965698242 seconds, time offset: -1547614563.4774954, id:5c3ebfa41325e3247b2eaacc
4: 0.0015499591827392578 seconds, time offset: -1547668248.3438447, id:5c3f91431325e3106f5e3bf1
5: 0.0016219615936279297 seconds, time offset: -1547721887.4263213, id:5c4062e01325e3070d3d850d
6: 0.0019071102142333984 seconds, time offset: -1547775550.0718117, id:5c41347f1325e3070d3df201
7: 0.0017976760864257812 seconds, time offset: -1547829236.028771, id:5c4206201325e344f0304b14
8: 0.0038602352142333984 seconds, time offset: -1547882877.1402774, id:5c42d7be1325e344f030acc0
9: 0.002356290817260742 seconds, time offset: -1547936561.830598, id:5c43a95b1325e344f0311806
10: 0.001972675323486328 seconds, time offset: -1547990208.8681533, id:5c447af91325e344f0316484
11: 0.0017352104187011719 seconds, time offset: -1548043863.8354719, id:5c454c981325e344f031d09b
12: 0.0019059181213378906 seconds, time offset: -1548097549.236365, id:5c461e371325e373245a48b1
13: 0.0016622543334960938 seconds, time offset: -1548151195.1911726, id:5c46efdc1325e35bee01a3d8
14: 0.0015599727630615234 seconds, time offset: -1548204851.185329, id:5c47c1751325e35bee021463
15: 0.0015685558319091797 seconds, time offset: -1548258542.0599663, id:5c4893151325e35bee026902
16: 0.001964092254638672 seconds, time offset: -1548312188.4946628, id:5c4964bd1325e35bee02d38f
17: 0.0016036033630371094 seconds, time offset: -1548385991.8378682, id:5c4a85091325e337e55eff15
18: 0.0015668869018554688 seconds, time offset: -1548419502.2057605, id:5c4b07ef1325e337e55f2e1f
19: 0.0015552043914794922 seconds, time offset: -1548473164.797446, id:5c4bd98e1325e337e55fa0e6
20: 0.0016951560974121094 seconds, time offset: -1548526850.6583633, id:5c4cab2b1325e337e56000a0
21: 0.0016107559204101562 seconds, time offset: -1548580505.1879308, id:5c4d7cda1325e337e5605ec2
22: 0.0016016960144042969 seconds, time offset: -1548634151.9337373, id:5c4e4e691325e337e560d254
23: 0.001645803451538086 seconds, time offset: -1548687839.1446464, id:5c4f20071325e337e5612393
24: 0.0018880367279052734 seconds, time offset: -1548741476.824178, id:5c4ff1a61325e337e5619036
25: 0.0022983551025390625 seconds, time offset: -1548795165.8374085, id:5c50c3451325e337e561fb24
26: 0.0021576881408691406 seconds, time offset: -1548848803.3070588, id:5c5194e31325e337e5624e91
27: 0.0017342567443847656 seconds, time offset: -1548902463.4816902, id:5c5266811325e337e562c0d4
28: 0.0016384124755859375 seconds, time offset: -1548956155.6767254, id:5c5338241325e337e5631d67
29: 0.0016410350799560547 seconds, time offset: -1549009788.62431, id:5c5409be1325e337e5637dbd
30: 0.0016720294952392578 seconds, time offset: -1549063451.0348635, id:5c54db5d1325e337e563f027
31: 0.0016276836395263672 seconds, time offset: -1549117135.9265916, id:5c55acfc1325e337e5643e32
32: 0.0016701221466064453 seconds, time offset: -1549170775.9942021, id:5c567e9a1325e337e564ae65
33: 0.0032656192779541016 seconds, time offset: -1549224465.3659458, id:5c57503b1325e337e565172a
34: 0.002400636672973633 seconds, time offset: -1549278106.650147, id:5c5821d81325e337e5656d8b
35: 0.0017566680908203125 seconds, time offset: -1549331765.2863495, id:5c58f3771325e337e565e176
36: 0.0015933513641357422 seconds, time offset: -1549385456.9398768, id:5c59c51a1325e337e5663a5c
37: 0.0016362667083740234 seconds, time offset: -1549439088.6847034, id:5c5a96b31325e337e566a052
38: 0.0016322135925292969 seconds, time offset: -1549492767.7848918, id:5c5b68531325e337e567161b
39: 0.0016193389892578125 seconds, time offset: -1549546432.070527, id:5c5c39f21325e337e567652a
40: 0.0016105175018310547 seconds, time offset: -1549600080.5447645, id:5c5d0b931325e337e567d84d
41: 0.0016002655029296875 seconds, time offset: -1549653766.2347817, id:5c5ddd2e1325e337e5683f10
42: 0.0016460418701171875 seconds, time offset: -1549707404.1437843, id:5c5eaece1325e337e56897b9
43: 0.0015804767608642578 seconds, time offset: -1549761063.8325098, id:5c5f806b1325e337e5690469
44: 0.0015571117401123047 seconds, time offset: -1549814753.418334, id:5c60520a1325e337e56954db
45: 0.0015456676483154297 seconds, time offset: -1549868397.6164455, id:5c6123b01325e337e569bd4f
46: 0.0021386146545410156 seconds, time offset: -1549922074.688226, id:5c61f5471325e337e56a28b9
47: 0.0016021728515625 seconds, time offset: -1549975725.9371712, id:5c62c6ea1325e337e56a76f9
48: 0.0015573501586914062 seconds, time offset: -1550029380.1118388, id:5c6398871325e337e56ae889
49: 0.0015072822570800781 seconds, time offset: -1550083064.859342, id:5c646a231325e306d66c8b8b
50: 0.004024982452392578 seconds, time offset: -1550136707.7973745, id:5c653bc71325e306d66ce23b
51: 0.001531839370727539 seconds, time offset: -1550190368.806934, id:5c660d641325e306d66d4132
52: 0.0015757083892822266 seconds, time offset: -1550244050.7625253, id:5c66deff1325e306d66d8f2c
53: 0.0015184879302978516 seconds, time offset: -1550297690.7391636, id:5c67b09e1325e306d66dee20
54: 0.00153350830078125 seconds, time offset: -1550351376.7739372, id:5c6882401325e306d66e4f3d
55: 0.001588582992553711 seconds, time offset: -1550405018.7695725, id:5c6953de1325e306d66e9de3
56: 0.0015022754669189453 seconds, time offset: -1550461467.164342, id:5c6a303a1325e306ff5ac888
57: 0.0015635490417480469 seconds, time offset: -1550512389.6120582, id:5c6af7181325e306e641ea78
58: 0.0015435218811035156 seconds, time offset: -1550566004.5517488, id:5c6bc8b81325e306e6423799
59: 0.001529693603515625 seconds, time offset: -1550619671.5888562, id:5c6c9a5b1325e306e6429d42
60: 0.001538991928100586 seconds, time offset: -1550673345.8641796, id:5c6d6bf51325e3092e748cac
61: 0.0015959739685058594 seconds, time offset: -1550726994.265627, id:5c6e3d961325e3092e74f060
62: 0.0017039775848388672 seconds, time offset: -1550780673.9146585, id:5c6f0f301325e3092e755aa9
63: 0.0016007423400878906 seconds, time offset: -1550834358.8654099, id:5c6fe0d31325e3092e75c892
64: 0.0015554428100585938 seconds, time offset: -1552587807.2913432, id:5c8aa249972fed686456653d
65: 0.0015532970428466797 seconds, time offset: -1552587807.2376804, id:5c8aa249972fed686456653d
66: 0.0032494068145751953 seconds, time offset: -1552587807.184018, id:5c8aa249972fed686456653d
67: 0.0016336441040039062 seconds, time offset: -1552587807.1303556, id:5c8aa249972fed686456653d
68: 0.0014615058898925781 seconds, time offset: -1552587807.0766928, id:5c8aa249972fed686456653d
69: 0.0014698505401611328 seconds, time offset: -1552587807.0230303, id:5c8aa249972fed686456653d
70: 0.001550436019897461 seconds, time offset: -1552587806.9693677, id:5c8aa249972fed686456653d
71: 0.001611948013305664 seconds, time offset: -1552587806.915705, id:5c8aa249972fed686456653d
72: 0.0015668869018554688 seconds, time offset: -1552587806.8620424, id:5c8aa249972fed686456653d
73: 0.0015239715576171875 seconds, time offset: -1552587806.8083797, id:5c8aa249972fed686456653d
74: 0.001562356948852539 seconds, time offset: -1552587806.7547174, id:5c8aa249972fed686456653d
75: 0.00142669677734375 seconds, time offset: -1552587806.7010548, id:5c8aa249972fed686456653d
76: 0.0015368461608886719 seconds, time offset: -1552587806.647392, id:5c8aa249972fed686456653d
77: 0.0014891624450683594 seconds, time offset: -1552587806.5937295, id:5c8aa249972fed686456653d
78: 0.001546621322631836 seconds, time offset: -1552587806.5400667, id:5c8aa249972fed686456653d
79: 0.001668691635131836 seconds, time offset: -1552587806.4864042, id:5c8aa249972fed686456653d
80: 0.0015320777893066406 seconds, time offset: -1552587806.4327416, id:5c8aa249972fed686456653d
81: 0.0015430450439453125 seconds, time offset: -1552587806.379079, id:5c8aa249972fed686456653d
82: 0.0015053749084472656 seconds, time offset: -1552587806.3254166, id:5c8aa249972fed686456653d
83: 0.0014848709106445312 seconds, time offset: -1552587806.271754, id:5c8aa249972fed686456653d
84: 0.001546621322631836 seconds, time offset: -1552587806.2180912, id:5c8aa249972fed686456653d
85: 0.001538991928100586 seconds, time offset: -1552587806.1644287, id:5c8aa249972fed686456653d
86: 0.0015633106231689453 seconds, time offset: -1552587806.110766, id:5c8aa249972fed686456653d
87: 0.0015361309051513672 seconds, time offset: -1552587806.0571034, id:5c8aa249972fed686456653d
88: 0.0016021728515625 seconds, time offset: -1552587806.003441, id:5c8aa249972fed686456653d
89: 0.0015528202056884766 seconds, time offset: -1552587805.9497783, id:5c8aa249972fed686456653d
90: 0.0014643669128417969 seconds, time offset: -1552587805.8961158, id:5c8aa249972fed686456653d
91: 0.001470804214477539 seconds, time offset: -1552587805.8424532, id:5c8aa249972fed686456653d
92: 0.0015819072723388672 seconds, time offset: -1552587805.7887905, id:5c8aa249972fed686456653d
93: 0.0015230178833007812 seconds, time offset: -1552587805.735128, id:5c8aa249972fed686456653d
94: 0.0016126632690429688 seconds, time offset: -1552587805.6814651, id:5c8aa249972fed686456653d
95: 0.0015528202056884766 seconds, time offset: -1552587805.6278028, id:5c8aa249972fed686456653d
96: 0.0014801025390625 seconds, time offset: -1552660882.3724003, id:5c8bbfb0972fed2cb6058f2a
97: 0.0015604496002197266 seconds, time offset: -1552660882.3187375, id:5c8bbfb0972fed2cb6058f2a
98: 0.0034439563751220703 seconds, time offset: -1552712531.292009, id:5c8c897e972fed2cb6063327
99: 0.0015320777893066406 seconds, time offset: -1552766195.0476744, id:5c8d5b1e972fed2cb606ca27
